file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,dataset,-46.04462169103121,-45.960416603088376,3.8898667698615874,8.11467744819954
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,dataset,-43.81736111111111,-53.553986476017876,3.8598622108907312,11.443148868500742
F2BJRLP3,0.0,30.7068125,dataset,-46.006456569521326,-46.88836093090294,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,dataset,-45.66620037085515,-45.83029695984664,3.591081407841954,7.894659976710113
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,dataset,-43.23502761803874,-52.34883733896109,2.703878157008512,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,dataset,-44.808795103092784,-50.946841875712074,2.533814193955675,12.358243745435463
